state,statefip,cbsa,cbsacode,metpop10,cbsacity,cbsacitypop,pumaname,pumanum,pumapop,pumacity,pumacitypop,geodensity,simpledensity,princity,princitypop,altmetro
GA,13,Not in a CBSA,,58192,Not in a CBSA,,"Georgia Mountains Regional Commission (North & Northwest) PUMA, Georgia",3200,140921,Dahlonega,7537,99,87,No Principal City,,1 Rural
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Georgia Mountains Regional Commission (Southwest)--Forsyth County PUMA, Georgia",3300,236605,Cumming,7318,902,1019,No Principal City,,2 Town
GA,13,"Gainesville, GA",23580,179684,Gainesville,42296,"Georgia Mountains Regional Commission (South Central)--Hall County PUMA, Georgia",3400,201465,Gainesville,42296,637,506,Gainesville,42296,2 Town
GA,13,"Cornelia, GA",18460,28235,Cornelia,4503,"Georgia Mountains Regional Commission (Southeast) PUMA, Georgia",3500,139003,Cornelia,4503,139,116,Cornelia,4503,1 Rural
GA,13,"Athens-Clarke County, GA",12020,192541,Athens,127315,"Northeast Georgia Regional Commission (Central)--Clarke County--Athens City PUMA, Georgia",3600,126952,Athens,127315,1537,1058,Athens,127315,3 Small City
GA,13,"Athens-Clarke County, GA",12020,89896,Athens,127315,"Northeast Georgia Regional Commission (East) PUMA, Georgia",3700,120830,Elberton,4640,107,72,No Principal City,,1 Rural
GA,13,"Jefferson, GA",27600,658899,Jefferson,13233,"Northeast Georgia Regional Commission (Northwest)--Barrow & Jackson Counties PUMA, Georgia",3800,151761,Winder,18338,313,294,No Principal City,,2 Town
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Northeast Georgia Regional Commission (Southwest)--Walton, Morgan & Jasper Counties PUMA; Georgia",3900,126190,Monroe,14928,191,119,No Principal City,,1 Rural
GA,13,"Augusta-Richmond County, GA-SC",12260,564873,Augusta,202081,"Central Savannah River Area Regional Commission (East Central)--Richmond County PUMA, Georgia",4000,202178,Augusta,202081,1254,622,Augusta,202081,5 Core City
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Northeast)--Gwinnett County (West Central)--Duluth City PUMA, Georgia",4001,151425,Duluth,31873,2556,2551,Atlanta,498715,4 Satellite
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Northeast)--Gwinnett County (North)--Sugar Hill City PUMA, Georgia",4002,134760,Sugar Hill,25076,1363,1600,Atlanta,498715,4 Satellite
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission--Gwinnett County (Central)--Lawrenceville City PUMA, Georgia",4003,172350,Lawrenceville,30629,2137,2399,No Principal City,,2 Town
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Northeast)--Gwinnett County (East) PUMA, Georgia",4004,121039,Dacula,6882,1427,1337,No Principal City,,2 Town
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Northeast)--Gwinnett County (South)--Snellville City PUMA, Georgia",4005,130033,Snellville,20573,1749,1902,No Principal City,,2 Town
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Northeast)--Gwinnett County (Southwest)--Lilburn City PUMA, Georgia",4006,216807,Lilburn,14502,3598,3572,Atlanta,498715,4 Satellite
GA,13,"Augusta-Richmond County, GA-SC",12260,564873,Augusta,202081,"Central Savannah River Area Regional Commission (East Central)--Columbia County PUMA, Georgia",4100,154257,Evans,34536,862,520,Augusta,202081,4 Satellite
GA,13,"Augusta-Richmond County, GA-SC",12260,65442,Augusta,202081,"Central Savannah River Area Regional Commission (West & Outside Richmond & Columbia) PUMA, Georgia",4200,124654,Sandersville,5813,38,28,No Principal City,,1 Rural
